UI Element,UI Type,Route/Path,Feature Name,User Story ID,Database Tables,data-testid,Vai trò,Status,Notes
├─ Tab Priorities,Tab,-,Tab Priorities,ORG-03-03,task_priorities,tab-priorities,ORG,,
├─ Tab Types,Tab,-,Tab Types,ORG-03-03,task_types,tab-types,ORG,,
├─ Btn Add Item,Button,-,Thêm item,ORG-03-03,-,btn-add-item,ORG,,
Auto Lock Page,Page,/settings/auto-lock,Khóa kỳ tự động,ORG-03-02,work_period_locks,auto-lock-page,ORG,,
├─ Btn Create Schedule,Button,-,Tạo lịch,ORG-03-02,work_period_locks,btn-create-schedule,ORG,,
├─ Toggle Active,Switch,-,Bật/tắt,ORG-03-02,work_period_locks,toggle-active-{id},ORG,,
Org Recycle Bin Page,Page,/settings/recycle-bin,Thùng rác Org,"ORG-04-01, ORG-04-02, CEO-06-01","users, projects, tasks",org-recycle-bin-page,ORG+CEO,,
├─ Tab Users,Tab,-,Tab Users,ORG-04-01,-,stat-users,ORG+CEO,,
├─ Tab Projects,Tab,-,Tab Projects,ORG-04-03,-,stat-projects,ORG+CEO,,
├─ Btn Restore,Button,-,Khôi phục,ORG-04-02,-,btn-restore-{id},ORG+CEO,,
├─ Btn Delete Forever,Button,-,Xóa vĩnh viễn,ORG-04-02,-,btn-delete-{id},ORG+CEO,,
├─ Btn Bulk Restore,Button,-,Khôi phục hàng loạt,ORG-04-02,-,btn-bulk-restore,ORG+CEO,,
=== PERSONAL ===,,,,,,,,,
Personal Board Page,Page,/personal-board,Kanban cá nhân,"EMP-07-01, MNG-10-01, CEO-07-01",personal_tasks,personal-board-page,ALL,,
├─ Column Todo,Column,-,Cột To Do,EMP-07-01,personal_tasks,column-todo,ALL,,
├─ Column InProgress,Column,-,Cột In Progress,EMP-07-01,personal_tasks,column-in-progress,ALL,,
├─ Column Done,Column,-,Cột Done,EMP-07-01,personal_tasks,column-done,ALL,,
├─ Btn Add Task,Button,-,Thêm task,EMP-07-01,personal_tasks,btn-add-task,ALL,,
Recycle Bin Page,Page,/recycle-bin,Thùng rác cá nhân,"EMP-06-01, MNG-08-01","tasks, subtasks, time_logs",recycle-bin-page,ALL,,
├─ Item Row,TableRow,-,Dòng item,EMP-06-01,-,item-row-{id},ALL,,
├─ Btn Restore,Button,-,Khôi phục,EMP-06-01,-,btn-restore-{id},ALL,,
=== ACTIVITY & NOTIFICATIONS ===,,,,,,,,,
Activity Page,Page,/activity,Nhật ký hoạt động,"EMP-04-01, MNG-06-01, CEO-04-01",activity_logs,activity-page,ALL,,
├─ Filter Project,Select,-,Lọc dự án,EMP-04-02,projects,filter-project,ALL,,
├─ Filter User,Select,-,Lọc user,CEO-04-02,users,filter-user,MNG+,,
├─ Activity Item,Card,-,Item hoạt động,EMP-04-01,activity_logs,activity-item-{id},ALL,,
Notifications Page,Page,/notifications,Thông báo,"EMP-05-01, EMP-05-02, EMP-05-03, EMP-05-04",notifications,notifications-page,ALL,,
├─ Btn Mark All Read,Button,-,Đọc tất cả,EMP-05-03,notifications,btn-mark-all-read,ALL,,
├─ Notification Item,Card,-,Item thông báo,EMP-05-01,notifications,notification-item-{id},ALL,,
=== COMPONENTS ===,,,,,,,,,
Comment Thread,Component,CommentThread.tsx,Reply/Mention/Edit/Delete,"MNG-01-07, MNG-01-08, MNG-01-09","task_comments, users",comment-thread,ALL,,
├─ Comment Item,ListItem,-,Item bình luận,MNG-01-07,task_comments,comment-{id},ALL,,
├─ Btn Reply,Button,-,Trả lời,MNG-01-07,task_comments,btn-reply-{id},ALL,,
├─ Btn Edit,Button,-,Sửa,MNG-01-07,task_comments,btn-edit-{id},ALL,,
├─ Btn Delete,Button,-,Xóa,MNG-01-07,task_comments,btn-delete-{id},ALL,,
├─ Mention Dropdown,Dropdown,-,Dropdown @mention,MNG-01-08,users,mention-dropdown,ALL,,
Notification Bell,Component,Navbar,Dropdown thông báo,"EMP-05-01, MNG-07-01, CEO-05-01",notifications,notification-bell,ALL,,
├─ Badge Count,Badge,-,Số chưa đọc,EMP-05-01,notifications,notification-count,ALL,,
├─ Dropdown Panel,Dropdown,-,Panel thông báo,EMP-05-01,notifications,notification-panel,ALL,,
User Avatar Menu,Component,Navbar,Menu user,ALL,users,user-avatar-menu,ALL,,
├─ Menu Profile,MenuItem,-,Xem profile,ALL,users,menu-profile,ALL,,
├─ Menu Settings,MenuItem,-,Cài đặt,ALL,-,menu-settings,ALL,,
├─ Menu Logout,MenuItem,-,Đăng xuất,ALL,-,menu-logout,ALL,,
